condition,kappa,lambda_reward,mixture,model_seed,n_anchors,neural_calibration_mae,neural_gap_absolute_error,nn_do_rank_error,nn_obs_rank_error,nn_regret,obs_do_rank_error,obs_regret,random_action_regret
independent_latents,0.0,0.1,logger1_heavy,2,78,0.026271291741873454,0.006223436320094385,0.44871794871794873,0.44871794871794873,0.002072192888340616,0.0,0.0,0.0030295417686908876
independent_latents,0.0,0.1,logger12_balanced,0,78,0.019387557789329633,0.005481594835794472,0.46153846153846156,0.46153846153846156,0.002048367142766294,0.0,0.0,0.0030295417686908876
independent_latents,0.0,0.1,logger12_balanced,1,78,0.027599841831950453,0.00524900489556412,0.3333333333333333,0.3333333333333333,0.0016667066270727776,0.0,0.0,0.0030295417686908876
independent_latents,0.0,0.1,logger12_balanced,2,78,0.026271291741873454,0.006223436320094385,0.44871794871794873,0.44871794871794873,0.002072192888340616,0.0,0.0,0.0030295417686908876
independent_latents,0.0,0.1,logger2_heavy,0,78,0.019387557789329633,0.005481594835794472,0.46153846153846156,0.46153846153846156,0.002048367142766294,0.0,0.0,0.0030295417686908876
independent_latents,0.0,0.1,logger2_heavy,1,78,0.027599841831950453,0.00524900489556412,0.3333333333333333,0.3333333333333333,0.0016667066270727776,0.0,0.0,0.0030295417686908876
independent_latents,0.0,0.1,logger2_heavy,2,78,0.026271291741873454,0.006223436320094385,0.44871794871794873,0.44871794871794873,0.002072192888340616,0.0,0.0,0.0030295417686908876
confounded,0.0,0.2,logger1_heavy,0,78,0.08262807888072993,0.07094941255446699,0.9487179487179487,0.0,0.005877633093443531,0.9487179487179487,0.005877633093443531,0.0030295417686908876
confounded,0.0,0.2,logger1_heavy,1,78,0.0877229884636468,0.08440032568348567,0.9358974358974359,0.02564102564102564,0.005784808895496878,0.9487179487179487,0.005877633093443531,0.0030295417686908876
confounded,0.0,0.2,logger1_heavy,2,78,0.08277928937237919,0.07884478064403687,0.9487179487179487,0.0,0.005877633093443531,0.9487179487179487,0.005877633093443531,0.0030295417686908876
confounded,0.0,0.2,logger12_balanced,0,78,0.06825670578018335,0.05696005430350315,0.9487179487179487,0.0,0.005877633093443531,0.9487179487179487,0.005877633093443531,0.0030295417686908876
confounded,0.0,0.2,logger12_balanced,1,78,0.07208194579936013,0.0671060579192812,0.9358974358974359,0.02564102564102564,0.005784808895496878,0.9487179487179487,0.005877633093443531,0.0030295417686908876
confounded,0.0,0.2,logger12_balanced,2,78,0.06626364891287453,0.060869340730549164,0.9487179487179487,0.0,0.005877633093443531,0.9487179487179487,0.005877633093443531,0.0030295417686908876
confounded,0.0,0.2,logger2_heavy,0,78,0.05608549501898947,0.05093602041961865,0.9358974358974359,0.01282051282051282,0.005812438237137814,0.9487179487179487,0.005877633093443531,0.0030295417686908876
confounded,0.0,0.2,logger2_heavy,1,78,0.05659078114946894,0.04960119499349959,0.9102564102564102,0.038461538461538464,0.005708594509830542,0.9487179487179487,0.005877633093443531,0.0030295417686908876
confounded,0.0,0.2,logger2_heavy,2,78,0.05223139850154393,0.04361844008771098,0.9487179487179487,0.0,0.005877633093443531,0.9487179487179487,0.005877633093443531,0.0030295417686908876
independent_latents,0.0,0.2,logger1_heavy,0,78,0.019387557789329633,0.005481594835794472,0.46153846153846156,0.46153846153846156,0.002048367142766294,0.0,0.0,0.0030295417686908876
independent_latents,0.0,0.2,logger1_heavy,1,78,0.027599841831950453,0.00524900489556412,0.3333333333333333,0.3333333333333333,0.0016667066270727776,0.0,0.0,0.0030295417686908876
independent_latents,0.0,0.2,logger1_heavy,2,78,0.026271291741873454,0.006223436320094385,0.44871794871794873,0.44871794871794873,0.002072192888340616,0.0,0.0,0.0030295417686908876
independent_latents,0.0,0.2,logger12_balanced,0,78,0.019387557789329633,0.005481594835794472,0.46153846153846156,0.46153846153846156,0.002048367142766294,0.0,0.0,0.0030295417686908876
independent_latents,0.0,0.2,logger12_balanced,1,78,0.027599841831950453,0.00524900489556412,0.3333333333333333,0.3333333333333333,0.0016667066270727776,0.0,0.0,0.0030295417686908876
independent_latents,0.0,0.2,logger12_balanced,2,78,0.026271291741873454,0.006223436320094385,0.44871794871794873,0.44871794871794873,0.002072192888340616,0.0,0.0,0.0030295417686908876
independent_latents,0.0,0.2,logger2_heavy,0,78,0.019387557789329633,0.005481594835794472,0.46153846153846156,0.46153846153846156,0.002048367142766294,0.0,0.0,0.0030295417686908876
independent_latents,0.0,0.2,logger2_heavy,1,78,0.027599841831950453,0.00524900489556412,0.3333333333333333,0.3333333333333333,0.0016667066270727776,0.0,0.0,0.0030295417686908876
