kappa,lambda_reward,condition,seed,method,validation_nll
0.0,0.1,confounded,3,pooled_mlp,-0.6500056982040405
0.0,0.1,confounded,3,V0_random_init_mechanism,-0.002203582553192973
0.0,0.1,confounded,3,V7_oracle_u_aware,
0.0,0.1,confounded,3,V1_explicit_collapsed,0.015068268403410912
0.0,0.1,confounded,3,V6_oracle_initialized_joint,-1.0939772129058838
0.0,0.1,confounded,4,pooled_mlp,-0.6389471292495728
0.0,0.1,confounded,4,V0_random_init_mechanism,-0.005100898910313845
0.0,0.1,confounded,4,V7_oracle_u_aware,
0.0,0.1,confounded,4,V1_explicit_collapsed,0.02709079347550869
0.0,0.1,confounded,4,V6_oracle_initialized_joint,-1.0461896657943726
0.0,0.0,independent_latents,0,public_residual_init_nll_best,-1.5705214738845825
0.0,0.0,independent_latents,0,source_shuffle_initialization,-1.2524852752685547
0.0,0.0,independent_latents,0,no_staged_training,-1.6473337411880493
0.0,0.0,independent_latents,1,public_residual_init_nll_best,-1.5726560354232788
0.0,0.0,independent_latents,1,source_shuffle_initialization,-1.2448034286499023
0.0,0.0,independent_latents,1,no_staged_training,-1.5624141693115234
0.0,0.0,independent_latents,2,public_residual_init_nll_best,-1.6059012413024902
0.0,0.0,independent_latents,2,source_shuffle_initialization,-1.1982111930847168
0.0,0.0,independent_latents,2,no_staged_training,-1.51198148727417
0.0,0.0,independent_latents,3,public_residual_init_nll_best,-1.4947662353515625
0.0,0.0,independent_latents,3,source_shuffle_initialization,-1.2573318481445312
0.0,0.0,independent_latents,3,no_staged_training,-1.5948660373687744
0.0,0.0,independent_latents,4,public_residual_init_nll_best,-1.612284779548645
0.0,0.0,independent_latents,4,source_shuffle_initialization,-1.2312202453613281
0.0,0.0,independent_latents,4,no_staged_training,-1.586585283279419
0.0,0.0,independent_latents,-1,public_residual_init_uniform_candidate_ensemble,-1.3845443427562714
0.0,0.0,independent_latents,0,public_residual_init_uniform_candidate_ensemble,-1.4444232881069183
0.0,0.0,independent_latents,1,public_residual_init_uniform_candidate_ensemble,-1.456163650751114
0.0,0.0,independent_latents,2,public_residual_init_uniform_candidate_ensemble,-1.092521721124649
0.0,0.0,independent_latents,3,public_residual_init_uniform_candidate_ensemble,-1.434727418422699
0.0,0.0,independent_latents,4,public_residual_init_uniform_candidate_ensemble,-1.4948856353759767
0.0,0.0,independent_latents,0,pooled_mlp,-1.9149527549743652
0.0,0.0,independent_latents,0,V0_random_init_mechanism,-1.2658233642578125
0.0,0.0,independent_latents,0,V7_oracle_u_aware,
0.0,0.0,independent_latents,1,pooled_mlp,-1.9516313076019287
