kappa,lambda_reward,condition,mixture,seed,variant,train_nll,validation_nll,test_nll,observational_reward_mae
0.0,0.002,confounded,logger12_balanced,1,oracle_reward_fixed_learn_behavior,-1.3510258197784424,-1.2602590322494507,-1.282244324684143,0.011264360366676088
0.0,0.002,confounded,logger12_balanced,1,oracle_compatible_plugin,-1.353432536125183,-1.2612898349761963,-1.2824233770370483,0.011287762969175627
0.0,0.002,confounded,logger12_balanced,1,oracle_initialized_joint,-2.0055859088897705,-1.6022642850875854,-1.7356513738632202,0.009705415422793845
0.0,0.002,confounded,logger12_balanced,1,oracle_u_aware_ceiling,-1.414804543991764,-1.2963539678198404,-1.3321254607566078,0.01195267460178336
0.0,0.002,confounded,logger12_balanced,2,current_random_init,-1.3638434410095215,-1.250820517539978,-1.2785602807998657,0.010309299917045798
0.0,0.002,confounded,logger12_balanced,2,collapsed_constrained_reference,-1.32466721534729,-1.2238589525222778,-1.241353988647461,0.013611586188794192
0.0,0.002,confounded,logger12_balanced,2,true_behavior_fixed,-1.1074814796447754,-0.8221435546875,-0.9494275450706482,0.02104686913665964
0.0,0.002,confounded,logger12_balanced,2,true_behavior_fixed_em,-1.2688872814178467,-1.1839510202407837,-1.1999019384384155,0.014315638121323769
0.0,0.002,confounded,logger12_balanced,2,oracle_reward_fixed_learn_behavior,-1.31820809841156,-1.2313259840011597,-1.2546240091323853,0.011567303603637922
0.0,0.002,confounded,logger12_balanced,2,oracle_compatible_plugin,-1.3203444480895996,-1.2323919534683228,-1.255549430847168,0.01158505622449887
0.0,0.002,confounded,logger12_balanced,2,oracle_initialized_joint,-2.3887791633605957,-1.5176219940185547,-1.7049058675765991,0.009916964318714777
0.0,0.002,confounded,logger12_balanced,2,oracle_u_aware_ceiling,-1.3964397835816897,-1.2835602590822184,-1.301412674554078,0.013728046719764506
0.0,0.002,confounded,logger12_balanced,3,current_random_init,-1.412421464920044,-1.2852199077606201,-1.3372466564178467,0.009705070577492841
0.0,0.002,confounded,logger12_balanced,3,collapsed_constrained_reference,-1.3045358657836914,-1.2095682621002197,-1.2381539344787598,0.014466278649105229
0.0,0.002,confounded,logger12_balanced,3,true_behavior_fixed,-1.3592286109924316,-1.245106816291809,-1.2885268926620483,0.013320200554609085
0.0,0.002,confounded,logger12_balanced,3,true_behavior_fixed_em,-1.2846643924713135,-1.1823240518569946,-1.2323921918869019,0.01188683379415358
0.0,0.002,confounded,logger12_balanced,3,oracle_reward_fixed_learn_behavior,-1.3776981830596924,-1.275712251663208,-1.3172365427017212,0.010638365673154874
0.0,0.002,confounded,logger12_balanced,3,oracle_compatible_plugin,-1.379553198814392,-1.2749747037887573,-1.3184866905212402,0.010640287495766428
0.0,0.002,confounded,logger12_balanced,3,oracle_initialized_joint,-1.9935787916183472,-1.5498526096343994,-1.7306358814239502,0.010940188070761315
0.0,0.002,confounded,logger12_balanced,3,oracle_u_aware_ceiling,-1.4158505848835021,-1.288569722355749,-1.3269326427147121,0.011448524765192866
0.0,0.002,confounded,logger12_balanced,4,current_random_init,-1.4137452840805054,-1.3140841722488403,-1.308400273323059,0.01054271377535011
0.0,0.002,confounded,logger12_balanced,4,collapsed_constrained_reference,-1.342430830001831,-1.2236460447311401,-1.2633020877838135,0.012948889789400756
0.0,0.002,confounded,logger12_balanced,4,true_behavior_fixed,-1.3225059509277344,-1.2035270929336548,-1.2604504823684692,0.014186537172110039
0.0,0.002,confounded,logger12_balanced,4,true_behavior_fixed_em,-1.2898057699203491,-1.1889945268630981,-1.2075676918029785,0.01903810486822869
0.0,0.002,confounded,logger12_balanced,4,oracle_reward_fixed_learn_behavior,-1.341248631477356,-1.2416105270385742,-1.2712326049804688,0.013552678467063688
0.0,0.002,confounded,logger12_balanced,4,oracle_compatible_plugin,-1.3433555364608765,-1.2415515184402466,-1.2705494165420532,0.01374097811339699
0.0,0.002,confounded,logger12_balanced,4,oracle_initialized_joint,-2.0080742835998535,-1.5712343454360962,-1.6622419357299805,0.010919563488765362
0.0,0.002,confounded,logger12_balanced,4,oracle_u_aware_ceiling,-1.422250827657721,-1.3102537327831305,-1.329891657608598,0.011203014685052656
0.0,0.005,confounded,logger12_balanced,0,current_random_init,-1.372379183769226,-1.2591699361801147,-1.281889796257019,0.011884030752669403
0.0,0.005,confounded,logger12_balanced,0,collapsed_constrained_reference,-1.3246128559112549,-1.2196403741836548,-1.2560319900512695,0.013241716946974277
0.0,0.005,confounded,logger12_balanced,0,true_behavior_fixed,-1.3811163902282715,-1.2703298330307007,-1.313397765159607,0.01151177186007542
0.0,0.005,confounded,logger12_balanced,0,true_behavior_fixed_em,-1.3167365789413452,-1.210191011428833,-1.2534587383270264,0.016338014108507208
0.0,0.005,confounded,logger12_balanced,0,oracle_reward_fixed_learn_behavior,-1.349076747894287,-1.2330399751663208,-1.2714242935180664,0.01226965018059968
0.0,0.005,confounded,logger12_balanced,0,oracle_compatible_plugin,-1.353724479675293,-1.2355269193649292,-1.2743555307388306,0.01231352370993874
0.0,0.005,confounded,logger12_balanced,0,oracle_initialized_joint,-1.9258137941360474,-1.5581109523773193,-1.7018892765045166,0.011044775096294713
0.0,0.005,confounded,logger12_balanced,0,oracle_u_aware_ceiling,-1.3833144987856383,-1.2649839328843508,-1.2924696474208048,0.012547145156023832
0.0,0.005,confounded,logger12_balanced,1,current_random_init,-1.4029792547225952,-1.2803776264190674,-1.3201348781585693,0.009909303507945826
0.0,0.005,confounded,logger12_balanced,1,collapsed_constrained_reference,-1.1788287162780762,-1.073747158050537,-1.0888612270355225,0.020726598168148758
0.0,0.005,confounded,logger12_balanced,1,true_behavior_fixed,-1.3470664024353027,-1.2559257745742798,-1.2698311805725098,0.012844865354562394
0.0,0.005,confounded,logger12_balanced,1,true_behavior_fixed_em,-1.2737256288528442,-1.1974363327026367,-1.2268537282943726,0.011785013021567977
