kappa,lambda_reward,condition,mixture,seed,variant,latent_collapse,reward_mode_separation,behavior_separation,prior_p_z1,prior_error,posterior_entropy,posterior_effective_usage,posterior_u_accuracy
0.0,0.01,confounded,logger12_balanced,2,oracle_initialized_joint,False,0.005793491469142109,0.40685176849365234,0.5035560131072998,0.0035560131072998047,0.504069447517395,1.6554443256636815,0.5119741100323625
0.0,0.01,confounded,logger12_balanced,2,oracle_u_aware_ceiling,False,0.022191143959420727,,0.5,,0.0,1.0,1.0
0.0,0.01,confounded,logger12_balanced,3,current_random_init,True,0.0064857378194633645,0.17981570959091187,0.9932350516319275,0.4932350516319275,0.035332683473825455,1.0359642996785758,0.5
0.0,0.01,confounded,logger12_balanced,3,collapsed_constrained_reference,True,0.0,0.0,0.5,,0.6931471805599453,2.0,0.5
0.0,0.01,confounded,logger12_balanced,3,true_behavior_fixed,False,0.0061404053131656495,0.3999999761581421,0.5,0.0,0.513762354850769,1.6715684125064394,0.5236245954692557
0.0,0.01,confounded,logger12_balanced,3,true_behavior_fixed_em,False,0.0053335244550545965,0.3999999761581421,0.5,0.0,0.5129467248916626,1.6702055870866757,0.5048543689320388
0.0,0.01,confounded,logger12_balanced,3,oracle_reward_fixed_learn_behavior,False,0.02120236608332067,0.3933691382408142,0.5,0.0,0.5349715948104858,1.7073997425521297,0.5488673139158576
0.0,0.01,confounded,logger12_balanced,3,oracle_compatible_plugin,False,0.02120236608332067,0.3999999761581421,0.5,0.0,0.5099239349365234,1.6651645292829127,0.5508090614886731
0.0,0.01,confounded,logger12_balanced,3,oracle_initialized_joint,False,0.007109299737581922,0.41765519976615906,0.4981549084186554,0.0018450915813446045,0.49659013748168945,1.6431089319258032,0.5446601941747573
0.0,0.01,confounded,logger12_balanced,3,oracle_u_aware_ceiling,False,0.020285699578870265,,0.5,,0.0,1.0,1.0
0.0,0.01,confounded,logger12_balanced,4,current_random_init,True,0.006590286702339031,0.17648744583129883,0.9931024312973022,0.49310243129730225,0.035927850753068924,1.036581055250371,0.5
0.0,0.01,confounded,logger12_balanced,4,collapsed_constrained_reference,True,0.0,0.0,0.5,,0.6931471805599453,2.0,0.5
0.0,0.01,confounded,logger12_balanced,4,true_behavior_fixed,False,0.006489435050109709,0.3999999761581421,0.5,0.0,0.5133954286575317,1.6709551827840066,0.5242718446601942
0.0,0.01,confounded,logger12_balanced,4,true_behavior_fixed_em,False,0.006092013620608191,0.3999999761581421,0.5,0.0,0.5130764842033386,1.6704223258756474,0.5203883495145631
0.0,0.01,confounded,logger12_balanced,4,oracle_reward_fixed_learn_behavior,False,0.021682970605452948,0.37408316135406494,0.5,0.0,0.5484263300895691,1.730527594766622,0.5527508090614887
0.0,0.01,confounded,logger12_balanced,4,oracle_compatible_plugin,False,0.021682970605452948,0.3999999761581421,0.5,0.0,0.5099174380302429,1.6651537109001673,0.554368932038835
0.0,0.01,confounded,logger12_balanced,4,oracle_initialized_joint,False,0.006319671090183146,0.4189484715461731,0.4961090385913849,0.0038909614086151123,0.486437052488327,1.626510711443825,0.5284789644012945
0.0,0.01,confounded,logger12_balanced,4,oracle_u_aware_ceiling,False,0.020940966960074782,,0.5,,0.0,1.0,1.0
